#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
～学科	～ 学[がっ] 科[か]	～ science, department of ～		0039
学会	学[がっ] 会[かい]	academic conference		0038
がっかり	がっかり	to be disappointed		0113
活気	活[かっ] 気[き]	lively		0030
担ぐ	担[かつ]ぐ	to carry on one's shoulder		0113
勝手	勝[かっ] 手[て]	do as one pleases, on one's own, without permission, selfish		0100 0107
かつて	かつて	once, before		0082 0083
～活動	～ 活[かつ] 動[どう]	～ activities		0067
活発	活[かっ] 発[ぱつ]	lively		0107
活躍	活[かつ] 躍[やく]	active part, success		0026
活用法	活[かつ] 用[よう] 法[ほう]	usage		0173
悲しみ	悲[かな]しみ	sadness		0179
悲しむ	悲[かな]しむ	to feel sad, to feel sorry for		0178
必ずしも	必[かなら]ずしも	not always [necessarily]		0043 0130
加熱	加[か] 熱[ねつ]	heating		0018
金遣い	金[かね] 遣[づか]い	spending money		0003 0161
かび	かび	mold		0018
株	株[かぶ]	stock		0042
株式	株[かぶ] 式[しき]	company stock		0062
花粉	花[か] 粉[ふん]	pollen		0070
構う	構[かま]う	to take care of		0018
神	神[かみ]	god		0054
かみそり	かみそり	razor		0022
科目	科[か] 目[もく]	subject		0038
かゆみ	かゆみ	itch		0179
柄	柄[がら]	pattern		0018
体つき	体[からだ]つき	build		0161
辛み	辛[から]み	hot flavour		0179
刈る	刈[か]る	to cut, to harvest		0034
乾かす	乾[かわ]かす	to dry		0018
川沿い	川[かわ] 沿[ぞ]い	river side		0030 0031 0161
勘	勘[かん]	intuition		0006
缶	缶[かん]	can		0070
～官	～ 官[かん]	～ official		0172
～感	～ 感[かん]	feeling [sense] of ～		0173
考え直す	考[かんが]え 直[なお]す	to rethink, to reconsider		0160
間隔	間[かん] 隔[かく]	space, interval		0078
観客	観[かん] 客[きゃく]	audience, spectator		0026
環境破壊	環[かん] 境[きょう] 破[は] 壊[かい]	environmental destruction		0071
環境保護	環[かん] 境[きょう] 保[ほ] 護[ご]	environmental protection		0070 0071
歓迎会	歓[かん] 迎[げい] 会[かい]	welcome party	反.  送[そう] 別[べつ] 会[かい]<br>farewell party	0014 0015
看護師	看[かん] 護[ご] 師[し]	nurse		0172
患者	患[かん] 者[じゃ]	patient		0022
勘定	勘[かん] 定[じょう]	calculation, counting		0078
感染	感[かん] 染[せん]	infection		0074
官庁街	官[かん] 庁[ちょう] 街[がい]	government office quarter		0172
監督	監[かん] 督[とく]	coach		0026
看病	看[かん] 病[びょう]	nurse		0022
管理	管[かん] 理[り]	management, care		0022
管理職	管[かん] 理[り] 職[しょく]	management		0042 0043
～機	～ 機[き]	～ machine		0172
～器	～ 器[き]	～ instrument		0172
気が合う	気[き]が 合[あ]う	to get along with		0154
危害	危[き] 害[がい]	harm		0070
気が多い	気[き]が 多[おお]い	to be open to many things		0154
気が重い	気[き]が 重[おも]い	to feel depressed		0154
気が利く	気[き]が 利[き]く	smart		0154
気が進まない	気[き]が 進[すす]まない	to be not in the mood for		0154
気が済む	気[き]が 済[す]む	to be satisfied, to feel fine		0154
気が小さい	気[き]が 小[ちい]さい	timid		0154
気が散る	気[き]が 散[ち]る	to get distracted		0154
気が早い	気[き]が 早[はや]い	hasty		0154
気が短い	気[き]が 短[みじか]い	short-tempered		0154
気が向く	気[き]が 向[む]く	to feel like		0154
